loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
339378.3125,339378.3125,318796.6875,318796.6875,0.0010000000474974513
334475.40625,334475.40625,315988.78125,315988.78125,0.0010000000474974513
335452.53125,335452.53125,314331.65625,314331.65625,0.0010000000474974513
347884.5625,347884.5625,315850.90625,315850.90625,0.0010000000474974513
340943.5,340943.5,317956.71875,317956.71875,0.0010000000474974513
344828.75,344828.75,318683.125,318683.125,0.0010000000474974513
347837.0,347837.0,313487.03125,313487.03125,0.0010000000474974513
338661.40625,338661.40625,317895.21875,317895.21875,0.0010000000474974513
344798.625,344798.625,315391.4375,315391.4375,0.0010000000474974513
338893.21875,338893.21875,314261.3125,314261.3125,0.0010000000474974513
342927.75,342927.75,312890.8125,312890.8125,0.0010000000474974513
328807.9375,328807.9375,311499.15625,311499.15625,0.0010000000474974513
352807.84375,352807.84375,311919.09375,311919.09375,0.0010000000474974513
333281.9375,333281.9375,310810.25,310810.25,0.0010000000474974513
338733.1875,338733.1875,313260.6875,313260.6875,0.0010000000474974513
332869.03125,332869.03125,314007.40625,314007.40625,0.0010000000474974513
334092.8125,334092.8125,308005.3125,308005.3125,0.0010000000474974513
331881.5,331881.5,309300.03125,309300.03125,0.0010000000474974513
338932.75,338932.75,308688.78125,308688.78125,0.0010000000474974513
332438.71875,332438.71875,312429.5625,312429.5625,0.0010000000474974513
332722.59375,332722.59375,310803.9375,310803.9375,0.0010000000474974513
338841.59375,338841.59375,311642.125,311642.125,0.0010000000474974513
325280.8125,325280.8125,303512.125,303512.125,0.0005000000237487257
329313.8125,329313.8125,306213.21875,306213.21875,0.0005000000237487257
317982.3125,317982.3125,303568.09375,303568.09375,0.0005000000237487257
329445.75,329445.75,304557.6875,304557.6875,0.0005000000237487257
319190.46875,319190.46875,301884.9375,301884.9375,0.0005000000237487257
323842.96875,323842.96875,303056.84375,303056.84375,0.0005000000237487257
318272.9375,318272.9375,301028.1875,301028.1875,0.0005000000237487257
321794.875,321794.875,303803.8125,303803.8125,0.0005000000237487257
323516.625,323516.625,306254.78125,306254.78125,0.0005000000237487257
320549.5,320549.5,300645.6875,300645.6875,0.0005000000237487257
332745.84375,332745.84375,303567.34375,303567.34375,0.0005000000237487257
312030.5,312030.5,302784.4375,302784.4375,0.0005000000237487257
320697.09375,320697.09375,303082.3125,303082.3125,0.0005000000237487257
319130.03125,319130.03125,302239.4375,302239.4375,0.0005000000237487257
316717.03125,316717.03125,301950.03125,301950.03125,0.0005000000237487257
317908.03125,317908.03125,300754.25,300754.25,0.0002500000118743628
311779.34375,311779.34375,300706.375,300706.375,0.0002500000118743628
314683.4375,314683.4375,300623.0,300623.0,0.0002500000118743628
315647.53125,315647.53125,301656.1875,301656.1875,0.0002500000118743628
